Time [s], II
3.096,0.40039
3.104,0.37109
3.112,0.33984
3.12,0.30078
3.128,0.31055
3.136,0.29492
3.144,0.24609
3.152,0.20508
3.16,0.18555
3.168,0.17969
3.176,0.16992
3.184,0.16602
3.192,0.16992
3.2,0.16992
3.208,0.17578
3.216,0.16992
3.224,0.17969
3.232,0.17969
3.24,0.20117
3.248,0.2793
3.256,0.41992
3.264,0.49414
3.272,0.53516
3.28,0.22461
3.288,0.050781
3.296,0.13477
3.304,0.16016
3.312,0.18555
3.32,0.19531
3.328,0.20117
3.336,0.20508
3.344,0.21094
3.352,0.21484
3.36,0.2207
3.368,0.23047
3.376,0.23047
3.384,0.23438
3.392,0.24023
3.4,0.24609
3.408,0.25586
3.416,0.25977
3.424,0.26562
3.432,0.26562
3.44,0.27539
3.448,0.27539
3.456,0.28516
3.464,0.29102
3.472,0.29492
3.48,0.28516
3.488,0.27539
3.496,0.25977
3.504,0.24023
3.512,0.22461
3.52,0.20508
3.528,0.17969
3.536,0.17578
3.544,0.17578
3.552,0.17969
3.56,0.18945
3.568,0.20508
3.576,0.21484
3.584,0.2207
3.592,0.22461
3.6,0.23047
3.608,0.23047
3.616,0.22461
3.624,0.22461
3.632,0.23047
3.64,0.23047
3.648,0.23047
3.656,0.23047
3.664,0.23047
3.672,0.23438
3.68,0.23438
3.688,0.25
3.696,0.28516
3.704,0.30469
3.712,0.31055
3.72,0.33984
3.728,0.375
3.736,0.38477
3.744,0.35938
3.752,0.33594
3.76,0.28516
3.768,0.27539
3.776,0.29492
3.784,0.24609
3.792,0.20117
3.8,0.17969
3.808,0.16992
3.816,0.16016
3.824,0.16016
3.832,0.15625
3.84,0.16016
3.848,0.15625
3.856,0.16016
3.864,0.16602
3.872,0.16992
3.88,0.17578
3.888,0.22461
3.896,0.36523
3.904,0.45508
3.912,0.51953
3.92,0.32422
3.928,0.041016
3.936,0.099609
3.944,0.14453
3.952,0.17578
3.96,0.19531
3.968,0.18945
3.976,0.20508
3.984,0.21094
3.992,0.21484
4,0.2207
4.008,0.22461
4.016,0.2207
4.024,0.2207
4.032,0.22461
4.04,0.24023
4.048,0.24023
4.056,0.25
4.064,0.25
4.072,0.25586
4.08,0.25977
4.088,0.26953
4.096,0.27539
4.104,0.27539
4.112,0.27539
4.12,0.27539
4.128,0.26953
4.136,0.25586
4.144,0.24023
4.152,0.22461
4.16,0.20508
4.168,0.17969
4.176,0.16602
4.184,0.16016
4.192,0.16992
4.2,0.17578
4.208,0.18945
4.216,0.19531
4.224,0.20508
4.232,0.21484
4.24,0.2207
4.248,0.2207
4.256,0.2207
4.264,0.21484
4.272,0.22461
4.28,0.22461
4.288,0.23047
4.296,0.23047
4.304,0.23047
4.312,0.23047
4.32,0.23047
4.328,0.23047
4.336,0.24023
4.344,0.2793
4.352,0.30078
4.36,0.30469
4.368,0.33008
4.376,0.36523
4.384,0.38086
4.392,0.35938
4.4,0.33008
4.408,0.2793
4.416,0.27539
4.424,0.29492
4.432,0.24609
4.44,0.20508
4.448,0.17969
4.456,0.16602
4.464,0.15625
4.472,0.15625
4.48,0.14453
4.488,0.15625
4.496,0.16016
4.504,0.15625
4.512,0.16016
4.52,0.16016
4.528,0.16602
4.536,0.21484
4.544,0.34961
4.552,0.44922
4.56,0.50977
4.568,0.33008
4.576,0.03125
4.584,0.089844
4.592,0.14453
4.6,0.16992
4.608,0.18555
4.616,0.18555
4.624,0.18945
4.632,0.18945
4.64,0.20508
4.648,0.20508
4.656,0.21484
4.664,0.2207
4.672,0.22461
4.68,0.23047
4.688,0.23047
4.696,0.24023
4.704,0.25586
4.712,0.25586
4.72,0.25586
4.728,0.26562
4.736,0.26562
4.744,0.27539
4.752,0.27539
4.76,0.2793
4.768,0.28516
4.776,0.27539
4.784,0.26562
4.792,0.24609
4.8,0.23047
4.808,0.20508
4.816,0.17969
4.824,0.16602
4.832,0.16016
4.84,0.16016
4.848,0.17578
4.856,0.19531
4.864,0.20508
4.872,0.21484
4.88,0.2207
4.888,0.2207
4.896,0.21094
4.904,0.2207
4.912,0.22461
4.92,0.22461
4.928,0.22461
4.936,0.23047
4.944,0.23438
4.952,0.23047
4.96,0.23047
4.968,0.23047
4.976,0.23438
4.984,0.23047
4.992,0.26562
5,0.29102
5.008,0.29492
5.016,0.31445
5.024,0.35547
5.032,0.37109
5.04,0.35938
5.048,0.33984
5.056,0.29492
5.064,0.27539
5.072,0.29492
5.08,0.25977
5.088,0.21484
5.096,0.17969
5.104,0.17969
5.112,0.16602
5.12,0.16992
5.128,0.16602
5.136,0.16602
5.144,0.16016
5.152,0.16016
5.16,0.16016
5.168,0.16992
5.176,0.16602
5.184,0.19531
5.192,0.32031
5.2,0.43945
5.208,0.55078
5.216,0.42969
5.224,0.095703
5.232,0.064453
5.24,0.16992
5.248,0.16016
5.256,0.17969
5.264,0.17969
5.272,0.18555
5.28,0.18555
5.288,0.18945
5.296,0.19531
5.304,0.19531
5.312,0.19531
5.32,0.20508
5.328,0.21484
5.336,0.21484
5.344,0.2207
5.352,0.23047
5.36,0.23438
5.368,0.23438
5.376,0.24023
5.384,0.24609
5.392,0.25
5.4,0.25586
5.408,0.26953
5.416,0.25586
5.424,0.25586
5.432,0.24609
5.44,0.23438
5.448,0.21094
5.456,0.18945
5.464,0.16602
5.472,0.16016
5.48,0.14453
5.488,0.15625
5.496,0.16602
5.504,0.17969
5.512,0.20117
5.52,0.20508
5.528,0.21094
5.536,0.22461
5.544,0.2207
5.552,0.22461
5.56,0.23047
5.568,0.2207
5.576,0.23047
5.584,0.23047
5.592,0.23047
5.6,0.22461
5.608,0.23047
5.616,0.23047
5.624,0.23047
5.632,0.24023
5.64,0.26562
5.648,0.29492
5.656,0.30078
5.664,0.31055
5.672,0.34961
5.68,0.375
5.688,0.38086
5.696,0.34961
5.704,0.30469
5.712,0.29102
5.72,0.30078
5.728,0.26953
5.736,0.23047
5.744,0.18555
5.752,0.17969
5.76,0.17578
5.768,0.16992
5.776,0.16602
5.784,0.16016
5.792,0.15625
5.8,0.15039
5.808,0.16016
5.816,0.16602
5.824,0.16602
5.832,0.18945
5.84,0.31445
5.848,0.44531
5.856,0.58984
5.864,0.50977
5.872,0.15625
5.88,0.10547
5.888,0.19531
5.896,0.16992
5.904,0.18555
5.912,0.17969
5.92,0.18555
5.928,0.17969
5.936,0.17969
5.944,0.18945
5.952,0.18555
5.96,0.19531
5.968,0.20117
5.976,0.20508
5.984,0.21094
5.992,0.21484
6,0.22461
6.008,0.23047
6.016,0.23047
6.024,0.24609
6.032,0.24609
6.04,0.25586
6.048,0.25586
6.056,0.25586
6.064,0.25586
6.072,0.25
6.08,0.23047
6.088,0.2207
6.096,0.18945
6.104,0.17969
6.112,0.15625
6.12,0.13477
6.128,0.13086
6.136,0.13477
6.144,0.15039
6.152,0.16016
6.16,0.17578
6.168,0.18945
6.176,0.21094
6.184,0.21484
6.192,0.2207
6.2,0.2207
6.208,0.22461
6.216,0.2207
6.224,0.23047
6.232,0.23047
6.24,0.23438
6.248,0.23438
6.256,0.24609
6.264,0.24609
6.272,0.24609
6.28,0.24609
6.288,0.25586
6.296,0.28516
6.304,0.31055
6.312,0.31055
6.32,0.33984
6.328,0.375
6.336,0.39062
6.344,0.36523
6.352,0.33984
6.36,0.29492
6.368,0.29102
6.376,0.30469
6.384,0.25977
6.392,0.21484
6.4,0.19531
6.408,0.18555
6.416,0.17969
6.424,0.17578
6.432,0.16602
6.44,0.16602
6.448,0.16602
6.456,0.17578
6.464,0.16602
6.472,0.16992
6.48,0.17578
6.488,0.25586
6.496,0.38477
6.504,0.48047
6.512,0.5293
6.52,0.30078
6.528,0.041016
6.536,0.12109
6.544,0.15625
6.552,0.17578
6.56,0.18945
6.568,0.19531
6.576,0.20508
6.584,0.20508
6.592,0.20508
6.6,0.21484
6.608,0.22461
6.616,0.23047
6.624,0.23047
6.632,0.23047
6.64,0.24023
6.648,0.24609
6.656,0.25586
6.664,0.26562
6.672,0.27539
6.68,0.27539
6.688,0.27539
6.696,0.27539
6.704,0.28516
6.712,0.29102
6.72,0.29102
6.728,0.27539
6.736,0.26953
6.744,0.25586
6.752,0.23438
6.76,0.21484
6.768,0.18555
6.776,0.16992
6.784,0.16992
6.792,0.17578
6.8,0.17969
6.808,0.19531
6.816,0.20508
6.824,0.2207
6.832,0.22461
6.84,0.23047
6.848,0.23047
6.856,0.23047
6.864,0.23047
6.872,0.23438
6.88,0.23047
6.888,0.23438
6.896,0.23438
6.904,0.24023
6.912,0.23438
6.92,0.24023
6.928,0.24609
6.936,0.24023
6.944,0.26562
6.952,0.30078
6.96,0.31445
6.968,0.31055
6.976,0.35547
6.984,0.38086
6.992,0.39062
7,0.36523
7.008,0.33008
7.016,0.28516
7.024,0.30469
7.032,0.2793
7.04,0.23438
7.048,0.20117
7.056,0.17969
7.064,0.16602
7.072,0.16602
7.08,0.16016
7.088,0.16016
7.096,0.16016
7.104,0.16016
7.112,0.16016
7.12,0.16016
7.128,0.16602
7.136,0.18555
7.144,0.2793
7.152,0.41992
7.16,0.49414
7.168,0.5293
7.176,0.16602
7.184,0.044922
7.192,0.13477
7.2,0.16016
7.208,0.18945
7.216,0.20117
7.224,0.20117
7.232,0.20117
7.24,0.20508
7.248,0.21094
7.256,0.22461
7.264,0.2207
7.272,0.23047
7.28,0.23047
7.288,0.24609
7.296,0.25
7.304,0.25586
7.312,0.25586
7.32,0.26562
7.328,0.26953
7.336,0.27539
7.344,0.2793
7.352,0.28516
7.36,0.29102
7.368,0.2793
7.376,0.29102
7.384,0.27539
7.392,0.25977
7.4,0.24609
7.408,0.22461
7.416,0.20117
7.424,0.17969
7.432,0.16602
7.44,0.16602
7.448,0.17578
7.456,0.18555
7.464,0.19531
7.472,0.21094
7.48,0.21484
7.488,0.2207
7.496,0.2207
7.504,0.22461
7.512,0.22461
7.52,0.23047
7.528,0.23047
7.536,0.23047
7.544,0.22461
7.552,0.22461
7.56,0.22461
7.568,0.23047
7.576,0.23047
7.584,0.23047
7.592,0.23047
7.6,0.25
7.608,0.29102
7.616,0.30078
7.624,0.31055
7.632,0.34961
7.64,0.38086
7.648,0.36523
7.656,0.3457
7.664,0.30469
7.672,0.27539
7.68,0.29102
7.688,0.26562
7.696,0.21484
7.704,0.17969
7.712,0.16016
7.72,0.16016
7.728,0.16016
7.736,0.15625
7.744,0.14453
7.752,0.14453
7.76,0.15039
7.768,0.15039
7.776,0.15039
7.784,0.16016
7.792,0.18555
7.8,0.29492
7.808,0.42578
7.816,0.50586
7.824,0.51562
7.832,0.099609
7.84,0.03125
7.848,0.13477
7.856,0.16016
7.864,0.17969
7.872,0.17969
7.88,0.18555
7.888,0.19531
7.896,0.19531
7.904,0.20508
7.912,0.20508
7.92,0.21484
7.928,0.21094
7.936,0.2207
7.944,0.22461
7.952,0.23047
7.96,0.23438
7.968,0.24609
7.976,0.25
7.984,0.25586
7.992,0.25586
8,0.26562
8.008,0.27539
8.016,0.27539
8.024,0.2793
8.032,0.27539
8.04,0.26562
8.048,0.24609
8.056,0.23047
8.064,0.20508
8.072,0.18555
8.08,0.16016
8.088,0.15625
8.096,0.15039
8.104,0.16016
8.112,0.17578
8.12,0.18555
8.128,0.19531
8.136,0.20508
8.144,0.20508
8.152,0.21094
8.16,0.21484
8.168,0.21094
8.176,0.21484
8.184,0.21094
8.192,0.21484
8.2,0.21094
8.208,0.2207
8.216,0.2207
8.224,0.22461
8.232,0.22461
8.24,0.23047
8.248,0.23047
8.256,0.25
8.264,0.29102
8.272,0.30078
8.28,0.30469
8.288,0.34961
8.296,0.37109
8.304,0.37109
8.312,0.33594
8.32,0.31055
8.328,0.27539
8.336,0.28516
8.344,0.25977
8.352,0.2207
8.36,0.18555
8.368,0.17969
8.376,0.16602
8.384,0.16602
8.392,0.16016
8.4,0.15625
8.408,0.16016
8.416,0.15625
8.424,0.16016
8.432,0.16016
8.44,0.16016
8.448,0.18555
8.456,0.29102
8.464,0.41992
8.472,0.49414
8.48,0.51562
8.488,0.125
8.496,0.035156
8.504,0.15039
8.512,0.16602
8.52,0.19531
8.528,0.20117
8.536,0.19531
8.544,0.20117
8.552,0.21094
8.56,0.21484
8.568,0.21094
8.576,0.2207
8.584,0.2207
8.592,0.22461
8.6,0.23047
8.608,0.23438
8.616,0.24023
8.624,0.24609
8.632,0.25
8.64,0.26562
8.648,0.26953
8.656,0.27539
8.664,0.26953
8.672,0.28516
8.68,0.28516
8.688,0.28516
8.696,0.27539
8.704,0.25977
8.712,0.24023
8.72,0.22461
8.728,0.19531
8.736,0.17969
8.744,0.16602
8.752,0.16016
8.76,0.16602
8.768,0.17969
8.776,0.19531
8.784,0.21484
8.792,0.22461
8.8,0.22461
8.808,0.22461
8.816,0.23047
8.824,0.23047
8.832,0.23047
8.84,0.23047
8.848,0.23047
8.856,0.23438
8.864,0.23438
8.872,0.23438
8.88,0.24023
8.888,0.25
8.896,0.24023
8.904,0.24609
8.912,0.25
8.92,0.2793
8.928,0.29492
8.936,0.30078
8.944,0.32031
8.952,0.35938
8.96,0.37109
8.968,0.3457
8.976,0.33594
8.984,0.2793
8.992,0.29492
9,0.2793
9.008,0.25
9.016,0.21094
9.024,0.17969
9.032,0.17578
9.04,0.16602
9.048,0.16016
9.056,0.16016
9.064,0.16602
9.072,0.16016
9.08,0.16016
9.088,0.16602
9.096,0.16602
9.104,0.16992
9.112,0.23438
9.12,0.37109
9.128,0.47461
9.136,0.56055
9.144,0.33984
9.152,0.080078
9.16,0.15039
9.168,0.17578
9.176,0.17969
9.184,0.18555
9.192,0.19531
9.2,0.20117
9.208,0.18945
9.216,0.19531
9.224,0.21094
9.232,0.21094
9.24,0.2207
9.248,0.2207
9.256,0.22461
9.264,0.23047
9.272,0.23047
9.28,0.23047
9.288,0.24023
9.296,0.24609
9.304,0.25586
9.312,0.25977
9.32,0.26562
9.328,0.25586
9.336,0.26562
9.344,0.26953
9.352,0.26953
9.36,0.25586
9.368,0.23438
9.376,0.21094
9.384,0.18945
9.392,0.16992
9.4,0.16602
9.408,0.15625
9.416,0.16016
9.424,0.17969
9.432,0.19531
9.44,0.20508
9.448,0.21094
9.456,0.22461
9.464,0.23047
9.472,0.23047
9.48,0.23047
9.488,0.23438
9.496,0.23047
9.504,0.24023
9.512,0.23438
9.52,0.23438
9.528,0.23438
9.536,0.24609
9.544,0.24023
9.552,0.24609
9.56,0.24023
9.568,0.25586
9.576,0.27539
9.584,0.30469
9.592,0.31055
9.6,0.33594
9.608,0.37109
9.616,0.39453
9.624,0.36523
9.632,0.33984
9.64,0.29492
9.648,0.2793
9.656,0.30078
9.664,0.25977
9.672,0.2207
9.68,0.17969
9.688,0.17969
9.696,0.16602
9.704,0.16602
9.712,0.15625
9.72,0.16016
9.728,0.16602
9.736,0.16992
9.744,0.16992
9.752,0.17578
9.76,0.17969
9.768,0.23438
9.776,0.37109
9.784,0.49023
9.792,0.5957
9.8,0.38477
9.808,0.10547
9.816,0.16992
9.824,0.19531
9.832,0.16992
9.84,0.17578
9.848,0.17578
9.856,0.17969
9.864,0.17969
9.872,0.17969
9.88,0.18945
9.888,0.20508
9.896,0.20117
9.904,0.20508
9.912,0.20508
9.92,0.21484
9.928,0.21484
9.936,0.22461
9.944,0.23047
9.952,0.24023
9.96,0.24023
9.968,0.24609
9.976,0.24609
9.984,0.25586
9.992,0.24609
10,0.25
10.008,0.24023
10.016,0.23047
10.024,0.21094
10.032,0.18945
10.04,0.17578
10.048,0.15625
10.056,0.13477
10.064,0.13477
10.072,0.13477
10.08,0.15625
10.088,0.17578
10.096,0.18555
10.104,0.20508
10.112,0.21094
10.12,0.21484
10.128,0.21484
10.136,0.2207
10.144,0.21484
10.152,0.2207
10.16,0.22461
10.168,0.23047
10.176,0.23047
10.184,0.22461
10.192,0.23047
10.2,0.23438
10.208,0.24023
10.216,0.23438
10.224,0.24609
10.232,0.26953
10.24,0.30078
10.248,0.30078
10.256,0.31445
10.264,0.34961
10.272,0.38086
10.28,0.35938
10.288,0.33984
10.296,0.29492
10.304,0.2793
10.312,0.30078
10.32,0.26953
10.328,0.22461
10.336,0.19531
10.344,0.17969
10.352,0.17969
10.36,0.16992
10.368,0.16602
10.376,0.16016
10.384,0.16016
10.392,0.16602
10.4,0.16602
10.408,0.16602
10.416,0.17578
10.424,0.21484
10.432,0.33594
10.44,0.45508
10.448,0.53906
10.456,0.41016
10.464,0.064453
10.472,0.041016
10.48,0.14453
10.488,0.16016
10.496,0.17969
10.504,0.18555
10.512,0.18945
10.52,0.19531
10.528,0.19531
10.536,0.20508
10.544,0.20508
10.552,0.20508
10.56,0.21094
10.568,0.21484
10.576,0.22461
10.584,0.23047
10.592,0.24023
10.6,0.24609
10.608,0.25586
10.616,0.25586
10.624,0.26562
10.632,0.26953
10.64,0.27539
10.648,0.27539
10.656,0.27539
10.664,0.26562
10.672,0.25586
10.68,0.24023
10.688,0.22461
10.696,0.20508
10.704,0.17969
10.712,0.16602
10.72,0.16016
10.728,0.15625
10.736,0.16602
10.744,0.17969
10.752,0.20117
10.76,0.20508
10.768,0.21094
10.776,0.2207
10.784,0.22461
10.792,0.2207
10.8,0.2207
10.808,0.21484
10.816,0.2207
10.824,0.22461
10.832,0.22461
10.84,0.22461
10.848,0.23047
10.856,0.23047
10.864,0.23047
10.872,0.22461
10.88,0.23047
10.888,0.26562
10.896,0.29492
10.904,0.30078
10.912,0.31445
10.92,0.35547
10.928,0.37109
10.936,0.35938
10.944,0.33594
10.952,0.29102
10.96,0.26953
10.968,0.28516
10.976,0.24609
10.984,0.20117
10.992,0.16992
11,0.16016
11.008,0.15625
11.016,0.16016
11.024,0.15625
11.032,0.15039
11.04,0.15625
11.048,0.15039
11.056,0.15625
11.064,0.16016
11.072,0.16992
11.08,0.20508
11.088,0.33984
11.096,0.44922
11.104,0.51953
11.112,0.38086
11.12,0.050781
11.128,0.025391
11.136,0.13477
11.144,0.15625
11.152,0.17969
11.16,0.18555
11.168,0.19531
11.176,0.18945
11.184,0.20117
11.192,0.19531
11.2,0.20117
11.208,0.20508
11.216,0.21484
11.224,0.22461
11.232,0.22461
11.24,0.23047
11.248,0.23047
11.256,0.23438
11.264,0.24609
11.272,0.25586
11.28,0.25977
11.288,0.26953
11.296,0.27539
11.304,0.2793
11.312,0.2793
11.32,0.27539
11.328,0.25977
11.336,0.25
11.344,0.23047
11.352,0.21094
11.36,0.18555
11.368,0.16992
11.376,0.16016
11.384,0.16602
11.392,0.17578
11.4,0.18555
11.408,0.19531
11.416,0.20508
11.424,0.20508
11.432,0.21094
11.44,0.21484
11.448,0.21094
11.456,0.2207
11.464,0.22461
11.472,0.23047
11.48,0.22461
11.488,0.22461
11.496,0.23047
11.504,0.23047
11.512,0.23047
11.52,0.23047
11.528,0.23047
11.536,0.23047
11.544,0.24023
11.552,0.28516
11.56,0.30078
11.568,0.30469
11.576,0.33008
11.584,0.37109
11.592,0.38477
11.6,0.35547
11.608,0.33594
11.616,0.29102
11.624,0.30078
11.632,0.2793
11.64,0.24023
11.648,0.20117
11.656,0.17969
11.664,0.17578
11.672,0.16992
11.68,0.16016
11.688,0.16602
11.696,0.16992
11.704,0.16602
11.712,0.16602
11.72,0.16992
11.728,0.16602
11.736,0.17969
11.744,0.24609
11.752,0.39453
11.76,0.47461
11.768,0.51953
11.776,0.26953
11.784,0.035156
11.792,0.12109
11.8,0.15625
11.808,0.18555
11.816,0.20117
11.824,0.20117
11.832,0.20508
11.84,0.21094
11.848,0.21094
11.856,0.21484
11.864,0.2207
11.872,0.22461
11.88,0.23047
11.888,0.23438
11.896,0.24023
11.904,0.24609
11.912,0.25
11.92,0.25977
11.928,0.25977
11.936,0.26953
11.944,0.27539
11.952,0.28516
11.96,0.29492
11.968,0.30078
11.976,0.29102
11.984,0.29492
11.992,0.2793
12,0.25977
12.008,0.24609
12.016,0.2207
12.024,0.20117
12.032,0.17969
12.04,0.16602
12.048,0.16992
12.056,0.17969
12.064,0.20117
12.072,0.21094
12.08,0.21484
12.088,0.22461
12.096,0.22461
12.104,0.23047
12.112,0.2207
12.12,0.22461
12.128,0.22461
12.136,0.23047
12.144,0.22461
12.152,0.22461
12.16,0.22461
12.168,0.23047
12.176,0.22461
12.184,0.23047
12.192,0.23047
12.2,0.24023
12.208,0.26953
12.216,0.30078
12.224,0.30078
12.232,0.31445
12.24,0.35547
12.248,0.38086
12.256,0.38477
12.264,0.3457
12.272,0.30469
12.28,0.2793
12.288,0.30078
12.296,0.25977
12.304,0.21484
12.312,0.17969
12.32,0.17578
12.328,0.16602
12.336,0.16016
12.344,0.15039
12.352,0.15625
12.36,0.14453
12.368,0.15039
12.376,0.15625
12.384,0.16016
12.392,0.16016
12.4,0.21094
12.408,0.33008
12.416,0.43945
12.424,0.51953
12.432,0.38086
12.44,0.054688
12.448,0.041016
12.456,0.14062
12.464,0.15625
12.472,0.17969
